nom,prenom_x,age_x,taille_x,poids_x,sexe_x,sport_licence_x,niveau_etude_x,region_x,smoker_x,nationalité_francaise_x,revenu_estime_mois_x,montant_pret_x,prenom_y,age_y,taille_y,poids_y,sexe_y,sport_licence_y,niveau_etude_y,region_y,smoker_y,nationalité_francaise_y,revenu_estime_mois_y,montant_pret_y
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0,Patrick,46,172.2,70.2,F,oui,aucun,Corse,oui,oui,2617,500.0
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0,Luc,74,165.4,59.6,F,non,doctorat,Occitanie,non,non,1114,500.0
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0,Charles,50,169.4,54.8,H,non,bac+2,Corse,oui,non,1881,500.0
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0,Noël,54,175.8,68.1,F,non,bac+2,Hauts-de-France,oui,oui,4188,10052.412561993066
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0,Alexandre,41,168.8,64.8,F,oui,doctorat,Bretagne,oui,non,3566,6674.054930607952
Marie,Zoé,57,161.7,56.3,F,oui,bac+2,Normandie,non,non,1369,500.0,Joseph,63,165.5,51.8,F,non,master,Auvergne-Rhône-Alpes,non,non,500,500.0
Chauvet,Margot,57,173.0,61.9,H,oui,bac+2,Occitanie,non,oui,1842,12439.293590268686,Antoine,75,170.0,67.4,F,oui,bac+2,Île-de-France,non,oui,1956,20478.34641936269
Chauvet,Margot,57,173.0,61.9,H,oui,bac+2,Occitanie,non,oui,1842,12439.293590268686,Océane,51,180.9,71.5,H,non,bac,Bretagne,oui,oui,2869,15852.126942416944
Chauvet,Margot,57,173.0,61.9,H,oui,bac+2,Occitanie,non,oui,1842,12439.293590268686,Odette,32,170.0,69.9,F,oui,master,Corse,non,oui,2106,11641.864397374606
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Inès,31,169.8,73.0,H,non,aucun,Bretagne,oui,oui,2326,500.0
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Sabine,57,160.2,63.0,H,oui,master,Occitanie,oui,non,3054,500.0
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Céline,37,160.0,64.2,F,non,bac,Provence-Alpes-Côte d’Azur,oui,non,2800,500.0
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Roland,71,159.7,88.5,F,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,1342,30277.966496270725
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Émile,75,158.5,44.7,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,500,500.0
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Dorothée,35,183.6,67.0,H,non,aucun,Provence-Alpes-Côte d’Azur,non,non,2778,500.0
Rousseau,Arthur,41,159.9,63.5,H,oui,bac,Bretagne,non,oui,3868,22954.67287100355,Clémence,44,170.6,65.4,F,oui,doctorat,Île-de-France,non,oui,3875,31711.06288028963
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788,Virginie,72,173.0,73.9,H,oui,master,Occitanie,non,oui,2506,33325.662797083605
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788,Roland,71,164.5,79.5,H,oui,master,Occitanie,oui,non,2743,500.0
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788,Marc,39,182.4,64.1,F,non,aucun,Hauts-de-France,oui,non,3782,500.0
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788,Emmanuelle,60,160.1,69.5,H,non,bac,Occitanie,non,non,1526,500.0
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788,Sylvie,25,172.6,89.3,H,non,aucun,Normandie,non,oui,500,500.0
Mendès,Margaret,41,174.4,63.1,H,oui,bac+2,Normandie,non,oui,1495,11067.617423181788,Victoire,20,179.3,62.6,H,oui,master,Île-de-France,non,oui,1115,22120.409111805995
Bertrand,Dominique,47,172.2,67.0,H,oui,master,Normandie,non,oui,3074,36525.37501588858,Anaïs,54,152.4,52.3,F,non,bac+2,Île-de-France,non,oui,500,4627.73726194852
Bertrand,Dominique,47,172.2,67.0,H,oui,master,Normandie,non,oui,3074,36525.37501588858,Brigitte,46,180.7,62.2,F,non,bac,Normandie,oui,oui,4191,1058.2516382859728
Bertrand,Dominique,47,172.2,67.0,H,oui,master,Normandie,non,oui,3074,36525.37501588858,Éléonore,72,176.8,62.7,F,oui,bac+2,Normandie,oui,oui,5088,19186.8789156378
Bertrand,Dominique,47,172.2,67.0,H,oui,master,Normandie,non,oui,3074,36525.37501588858,Audrey,34,150.9,89.8,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,2587,500.0
Bertrand,Dominique,47,172.2,67.0,H,oui,master,Normandie,non,oui,3074,36525.37501588858,Amélie,28,179.9,79.7,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,500,1296.9261161537204
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Augustin,27,164.4,50.8,H,non,bac+2,Bretagne,oui,oui,3546,14807.316967037785
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Aimé,59,177.2,66.5,F,non,doctorat,Normandie,oui,oui,4243,13334.730376384414
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Jacqueline,33,167.7,45.4,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,2029,500.0
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Sylvie,29,175.5,76.7,H,oui,doctorat,Corse,non,non,1509,500.0
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Alexandre,19,172.6,89.1,F,non,doctorat,Corse,oui,oui,2317,500.0
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Renée,64,140.9,77.8,H,non,doctorat,Corse,oui,oui,1035,500.0
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Noémi,39,161.9,82.4,H,oui,doctorat,Occitanie,oui,oui,3785,29501.72608659591
Prévost,Valérie,41,165.3,69.5,H,oui,bac+2,Occitanie,non,non,1466,500.0,Benjamin,39,161.6,81.3,F,oui,doctorat,Bretagne,oui,oui,3285,32253.089206303863
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Maurice,25,158.0,99.5,H,oui,aucun,Bretagne,non,oui,2542,15384.504276532434
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Pauline,28,181.9,73.2,H,oui,master,Bretagne,non,non,3732,11201.462569060986
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Laurence,68,153.3,76.1,F,non,master,Île-de-France,non,non,3359,6179.9721983562085
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Charlotte,58,147.7,73.4,H,non,bac,Île-de-France,non,oui,1826,6692.396933531173
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Arthur,71,167.8,49.8,F,non,bac,Bretagne,non,non,4621,500.0
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Corinne,25,195.0,54.2,F,non,bac+2,Normandie,oui,oui,2075,500.0
Roy,Margot,40,172.8,63.2,H,non,doctorat,Occitanie,non,oui,2799,31625.8704943273,Nath,29,170.4,86.4,F,non,bac,Auvergne-Rhône-Alpes,oui,oui,2415,500.0
